frame.number,frame.time,ip.src,ip.dst,tcp.seq,tcp.payload
"4318","Feb  1, 2023 00:50:19.479036000 CST","192.168.137.190","192.168.137.1","4294966857","7b202273746172747570223a207b20227461736b73223a205b205d207d2c20225573696e675f3247223a20302c20224c6f616454696d65223a20313637343438303238372c20224461746156657273696f6e223a203438303331363031342c202255736572446174615f4461746156657273696f6e223a203438303331353934352c202254696d655374616d70223a20313637353138333831392c20226c69676874735f6f6e223a20302c20226c69676874735f6f6666223a20302c2022646f6f72735f6c6f636b6564223a20302c2022646f6f72735f756e6c6f636b6564223a20302c202273656e736f72735f74726970706564223a20302c202273656e736f72735f6e6f745f74726970706564223a20302c20226661696c65645f64657669636573223a20302c202276697369626c655f64657669636573223a20312c2022706172746974696f6e735f616374697665223a20302c2022706172746974696f6e735f6e6f74616374697665223a20302c20225a57617665537461747573223a20312c20224d6f6465223a20312c20224c6f63616c54696d65223a2022323032332d30312d33312031323a35303a3139204422207d"
"4319","Feb  1, 2023 00:50:19.479064000 CST","192.168.137.190","192.168.137.1","4294967295","0d0a"
"4320","Feb  1, 2023 00:50:19.480067000 CST","192.168.137.190","192.168.137.1","1","300d0a0d0a"
"4413","Feb  1, 2023 00:50:19.503222000 CST","54.212.163.173","192.168.137.3","0",
"4414","Feb  1, 2023 00:50:19.503596000 CST","192.168.137.1","192.168.137.190","1",
"4834","Feb  1, 2023 00:50:19.689784000 CST","54.188.99.4","192.168.137.28","0",
"5107","Feb  1, 2023 00:50:19.967100000 CST","192.168.137.244","54.212.163.173","0",
"5214","Feb  1, 2023 00:50:20.029621000 CST","54.212.163.173","192.168.137.244","0",
"6093","Feb  1, 2023 00:50:20.413043000 CST","35.185.44.250","192.168.137.34","1","1703010020fc738c947ef806b9d2a447a5d35a11f617334ce03d8f9ee448af3448f02fdbb5170301002061b97900f556b7430476ea13affeb6609528b758ece28969a3712f93bef472ef150301002035b3d60817b093a6f88b635dd9d0fbc4a7713506e9e71d92e0850207f142ee52"
"6444","Feb  1, 2023 00:50:20.553488000 CST","192.168.137.127","54.188.109.168","1",
"7458","Feb  1, 2023 00:50:20.820385000 CST","192.168.137.222","54.148.153.241","0",
"7903","Feb  1, 2023 00:50:20.882165000 CST","54.148.153.241","192.168.137.222","0",
"8048","Feb  1, 2023 00:50:20.981916000 CST","35.175.71.102","192.168.137.12","1","1703030029bd3fbf33947a60981620807f7ceb185a8e702a681e3e593f10e4be46abffa3af66b4fb8755fbaefbde"
"8505","Feb  1, 2023 00:50:21.059566000 CST","192.168.137.8","54.188.99.4","0",
"8528","Feb  1, 2023 00:50:21.077396000 CST","192.168.137.21","44.240.74.103","0",
"8648","Feb  1, 2023 00:50:21.128549000 CST","54.188.99.4","192.168.137.8","0",
"8649","Feb  1, 2023 00:50:21.139390000 CST","44.240.74.103","192.168.137.21","0",
"8845","Feb  1, 2023 00:50:21.436659000 CST","192.168.137.28","54.188.99.4","0",
"8876","Feb  1, 2023 00:50:21.443766000 CST","192.168.137.1","192.168.137.190","1","474554202f706f72745f333438302f646174615f726571756573743f69643d6c755f737461747573264461746156657273696f6e3d343830333136303134264d696e696d756d44656c61793d313030302654696d656f75743d3630264c6f616454696d653d313637343438303238372672616e643d302e333939333236373631343536373339303720485454502f312e310d0a486f73743a203139322e3136382e3133372e3139300d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a4163636570743a202a2f2a0d0a557365722d4167656e743a204d6f7a696c6c612f352e30202857696e646f7773204e542031302e303b2057696e36343b2078363429204170706c655765624b69742f3533372e333620284b48544d4c2c206c696b65204765636b6f29204368726f6d652f3130392e302e302e30205361666172692f3533372e33360d0a582d5265717565737465642d576974683a20584d4c48747470526571756573740d0a526566657265723a20687474703a2f2f3139322e3136382e3133372e3139302f636d682f0d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570742d4c616e67756167653a20656e2d55532c656e3b713d302e390d0a436f6f6b69653a205352564e414d453d7070320d0a0d0a"
"8911","Feb  1, 2023 00:50:21.468057000 CST","192.168.137.190","192.168.137.1","6",
"9007","Feb  1, 2023 00:50:21.497634000 CST","54.188.99.4","192.168.137.28","0",
"9038","Feb  1, 2023 00:50:21.519181000 CST","54.212.163.173","192.168.137.3","0",
"9107","Feb  1, 2023 00:50:21.558233000 CST","192.168.137.127","54.188.109.168","0",
"9245","Feb  1, 2023 00:50:21.655840000 CST","54.188.109.168","192.168.137.127","0",
"10464","Feb  1, 2023 00:50:22.026599000 CST","192.168.137.245","35.161.158.54","1",
"10740","Feb  1, 2023 00:50:22.078240000 CST","192.168.137.21","44.240.74.103","0",
"11038","Feb  1, 2023 00:50:22.139997000 CST","44.240.74.103","192.168.137.21","0",
"11149","Feb  1, 2023 00:50:22.167428000 CST","54.188.99.4","192.168.137.69","1","160303005a02000056030363d946c45e74018a31b4942af6bfb73a1122dc9aae7f90a2444f574e4752440120388c539b6910ef4e6f4aff6036fba3f78f749b808c31b889044d3d99387ba88400ae00000e000100010200170000ff01000100160303002b0c0000270025316448527363324e6a62486c7462477833655768353030303030303030303030303030303016030300040e000000"
"11707","Feb  1, 2023 00:50:22.326936000 CST","44.231.109.193","192.168.137.49","1",
"11777","Feb  1, 2023 00:50:22.352282000 CST","192.168.137.49","44.231.109.193","1",
"13375","Feb  1, 2023 00:50:22.663722000 CST","54.188.109.168","192.168.137.127","0",
"14320","Feb  1, 2023 00:50:22.874321000 CST","192.168.137.69","54.188.99.4","1",
"14679","Feb  1, 2023 00:50:22.967007000 CST","100.21.156.247","192.168.137.217","0",
"15009","Feb  1, 2023 00:50:23.040311000 CST","192.168.137.129","17.57.147.6","1",
"15246","Feb  1, 2023 00:50:23.149279000 CST","54.188.109.168","192.168.137.224","1","1703030040e3f2ead90250257ab8f911231dbad47677f17fe240594dc1e044a9e7dc6ef4c09ffd58eb460019a62e35d63c634618692eb5c5451338336c92872485ad6042cb"
"15741","Feb  1, 2023 00:50:23.294531000 CST","52.204.176.5","192.168.137.158","0",
"16774","Feb  1, 2023 00:50:23.497641000 CST","54.188.99.4","192.168.137.28","0",
"17798","Feb  1, 2023 00:50:23.838981000 CST","192.168.137.222","54.148.153.241","0",
"17913","Feb  1, 2023 00:50:23.897817000 CST","54.148.153.241","192.168.137.222","0",
"18118","Feb  1, 2023 00:50:23.996642000 CST","192.168.137.245","35.161.158.54","0",
"18309","Feb  1, 2023 00:50:24.075669000 CST","35.161.158.54","192.168.137.245","0",
"18312","Feb  1, 2023 00:50:24.083510000 CST","192.168.137.8","54.188.99.4","0",
"18419","Feb  1, 2023 00:50:24.141829000 CST","54.188.99.4","192.168.137.8","0",
"18468","Feb  1, 2023 00:50:24.169691000 CST","192.168.137.245","35.161.158.54","0",
"18686","Feb  1, 2023 00:50:24.228738000 CST","35.161.158.54","192.168.137.245","0",
"18922","Feb  1, 2023 00:50:24.308202000 CST","192.168.137.127","54.188.109.168","0",
"19211","Feb  1, 2023 00:50:24.366958000 CST","54.188.109.168","192.168.137.127","0",
"19400","Feb  1, 2023 00:50:24.399030000 CST","192.168.137.28","54.188.99.4","0",
"19571","Feb  1, 2023 00:50:24.457040000 CST","54.188.99.4","192.168.137.28","0",
"20192","Feb  1, 2023 00:50:24.568385000 CST","192.168.137.121","192.168.137.162","1",
"23652","Feb  1, 2023 00:50:25.239636000 CST","35.161.158.54","192.168.137.245","0",
"25442","Feb  1, 2023 00:50:25.647298000 CST","54.212.163.173","192.168.137.3","0",
"26458","Feb  1, 2023 00:50:26.032425000 CST","192.168.137.100","172.253.122.188","1","17030300161eba91e694e19a70569260fcc381f6ad6fc6aa0df55f"
"26477","Feb  1, 2023 00:50:26.070066000 CST","172.253.122.188","192.168.137.100","1",
"26478","Feb  1, 2023 00:50:26.074969000 CST","54.188.99.4","192.168.137.10","1","1703030040e26ee871eef962be16f8d02caf63a9e829ad205acf7a3e072b8894c85550cb720443efc30e3c4aa6b0e7bbe73b51698553130b07f9cb1296fce17ab03dcda264"
"26479","Feb  1, 2023 00:50:26.077860000 CST","172.253.122.188","192.168.137.100","1","1703030016a1bfa28977c96a5836e0859e61afa7cddade181c054a"
"26481","Feb  1, 2023 00:50:26.107537000 CST","192.168.137.100","172.253.122.188","28","1703030020055c4e788e9ed6182094f12930b788ee3ea24157bda0272c438a2676b53d6e3d"
"26484","Feb  1, 2023 00:50:26.132512000 CST","172.253.122.188","192.168.137.100","28",
"26800","Feb  1, 2023 00:50:26.375540000 CST","54.188.109.168","192.168.137.127","0",
"27973","Feb  1, 2023 00:50:26.890006000 CST","192.168.137.222","54.148.153.241","0",
"28090","Feb  1, 2023 00:50:26.946245000 CST","54.148.153.241","192.168.137.222","0",
"28236","Feb  1, 2023 00:50:27.065552000 CST","192.168.137.8","54.188.99.4","0",
"28237","Feb  1, 2023 00:50:27.120986000 CST","54.188.99.4","192.168.137.8","0",
"28426","Feb  1, 2023 00:50:27.197825000 CST","52.206.172.2","192.168.137.254","1","150303001a02245499acfb84dd2e4709b4f149517d463c8481a06b17195147"
"28443","Feb  1, 2023 00:50:27.255354000 CST","35.161.158.54","192.168.137.245","0",
"28598","Feb  1, 2023 00:50:27.310435000 CST","192.168.137.127","54.188.109.168","0",
"28871","Feb  1, 2023 00:50:27.363546000 CST","192.168.137.28","54.188.99.4","0",
"28872","Feb  1, 2023 00:50:27.366438000 CST","54.188.109.168","192.168.137.127","0",
"28879","Feb  1, 2023 00:50:27.419037000 CST","54.188.99.4","192.168.137.28","0",
"31407","Feb  1, 2023 00:50:28.104856000 CST","192.168.137.49","44.231.109.193","0",
"31636","Feb  1, 2023 00:50:28.159666000 CST","44.231.109.193","192.168.137.49","2",
"34247","Feb  1, 2023 00:50:28.884982000 CST","192.168.137.249","54.212.163.173","1","170303004042416f68626d643661473931494652316f84ec62b0ea378b9ed732fbbd4370f52cc8a1941f8a0ef58eee1bbf3ee8d6fe025683f47c525058d2e1f41dbddd5673"
"34356","Feb  1, 2023 00:50:28.938414000 CST","54.212.163.173","192.168.137.249","1",
"34357","Feb  1, 2023 00:50:28.938416000 CST","54.212.163.173","192.168.137.249","1","1703030040ec03854d9793f291a12a224eb7fa9648c1d1ceffec26e8cf94dd07748d0eb3755e9cd5e957a881939c05da349e6ca7761741345e895f3b8b94f23053810b76b6"
"35482","Feb  1, 2023 00:50:29.218787000 CST","192.168.137.190","142.251.41.78","0",
"35496","Feb  1, 2023 00:50:29.238332000 CST","142.251.41.78","192.168.137.190","0",
"35550","Feb  1, 2023 00:50:29.266832000 CST","142.251.41.78","192.168.137.190","1",
"35559","Feb  1, 2023 00:50:29.270257000 CST","192.168.137.190","142.251.41.78","1",
"35560","Feb  1, 2023 00:50:29.270260000 CST","192.168.137.190","142.251.41.78","1",
"35708","Feb  1, 2023 00:50:29.298602000 CST","192.168.137.190","142.251.41.78","2",
"35898","Feb  1, 2023 00:50:29.339372000 CST","192.168.137.190","31.13.80.36","0",
"35917","Feb  1, 2023 00:50:29.358621000 CST","31.13.80.36","192.168.137.190","0",
"35976","Feb  1, 2023 00:50:29.386917000 CST","31.13.80.36","192.168.137.190","1",
"35977","Feb  1, 2023 00:50:29.390582000 CST","192.168.137.190","31.13.80.36","1",
"35978","Feb  1, 2023 00:50:29.390585000 CST","192.168.137.190","31.13.80.36","1",
"36047","Feb  1, 2023 00:50:29.419066000 CST","192.168.137.190","31.13.80.36","2",
"36892","Feb  1, 2023 00:50:29.652394000 CST","192.168.137.121","192.168.137.162","1","170303017d45542a5587408855c971b191d339764471d50bb9d982474ed2032bfdd34e5c2b20f4ed597f9e9ba0be03914828603bf6b96416c37f74621cf657a1208835d17050c83941a080da6d8eddcabd0ea5153f0ecdcd909fcd4bf1f851fe03658cac18c9479b97621334e6acaffbec070f36526806f012d89c18d08509ee877c2e21bc22b62777d3a43a3a0cd3ba3f79d3535e5666ad49e48bf5bd0c9978dfcedf577b1012bda5f0704beac59766232ccdbdaada7d7832017289329f765e5eb04ea617dfd51746210ea35701a9ff83b55ea034ec83b68592df6b43bc3335fef698cbee46923871cd82d39cc4e9f872ef49c233664b27fb057f733cda90abf888817d81f05fe1601f9747be09548381f5bbe4c7b76ab550fb99fdb1a98653255059ecb282d8f493ddad51e8d0aecc853ad67e2f1aafba55ecf6221df055ae2a8f347f5216614672d4d54113b55a0c0bcfb7c4c1624239dbf5ff9a5672630cd60fef38edd7e04edef4f047a3d6eeda9fa583aa389b12d7d82858239199e9dedabb17030300137db0a271416daebadcd27b0a9b49b26d2d5c84"
"37143","Feb  1, 2023 00:50:29.764329000 CST","54.174.218.132","192.168.137.108","1","170303001a246adad8f65b94f9eb15b109f3776f64ee9698fe4032e5adeeef"
"37327","Feb  1, 2023 00:50:29.851714000 CST","192.168.137.222","54.148.153.241","0",
"37390","Feb  1, 2023 00:50:29.904963000 CST","54.148.153.241","192.168.137.222","0",
"38147","Feb  1, 2023 00:50:30.064475000 CST","192.168.137.222","54.148.153.241","1",
"38160","Feb  1, 2023 00:50:30.066877000 CST","192.168.137.222","54.148.153.241","1","160303003e0100003a030342416f6842416f68626d6436614739314946523165566a61473576624739534200000400ae00ff0100000d00010001020016000000170000"
"38286","Feb  1, 2023 00:50:30.077445000 CST","192.168.137.8","54.188.99.4","0",
"38499","Feb  1, 2023 00:50:30.120476000 CST","54.148.153.241","192.168.137.222","1",
"38501","Feb  1, 2023 00:50:30.120969000 CST","54.148.153.241","192.168.137.222","1","160303005a02000056030363d946d677b176717756e82341aaca1d7fed990f5f656837444f574e475244012016d6e1e3e47058a3b71381d63e5a61b2aaca3b55e3609a1e5ade2431a944c16800ae00000e000100010200170000ff01000100160303002b0c0000270025316448527363324e6a62486c7462477833655768353030303030303030303030303030303016030300040e000000"
"38565","Feb  1, 2023 00:50:30.130066000 CST","54.188.99.4","192.168.137.8","0",
"39319","Feb  1, 2023 00:50:30.324161000 CST","192.168.137.8","54.188.99.4","1",
"39320","Feb  1, 2023 00:50:30.324164000 CST","192.168.137.8","54.188.99.4","1","160303003e0100003a030342416f6842416f68626d6436614739314946523165566a61473576624739534200000400ae00ff0100000d00010001020016000000170000"
"39439","Feb  1, 2023 00:50:30.340679000 CST","192.168.137.127","54.188.109.168","0",
"39543","Feb  1, 2023 00:50:30.352617000 CST","192.168.137.28","54.188.99.4","0",
"39676","Feb  1, 2023 00:50:30.376833000 CST","54.188.99.4","192.168.137.8","1",
"39677","Feb  1, 2023 00:50:30.377182000 CST","54.188.99.4","192.168.137.8","1","160303005a02000056030363d946d6146caddb3c7da5ffc2ee2ac68a9fe297ba818880444f574e47524401208ea9f3cd43a2727a52dd9584085441f274376f0a9a817dc3ad637b222fc92ac400ae00000e000100010200170000ff01000100160303002b0c0000270025316448527363324e6a62486c7462477833655768353030303030303030303030303030303016030300040e000000"
"39807","Feb  1, 2023 00:50:30.395174000 CST","54.188.109.168","192.168.137.127","0",
"39826","Feb  1, 2023 00:50:30.405287000 CST","54.188.99.4","192.168.137.28","0",
"43509","Feb  1, 2023 00:50:31.172085000 CST","192.168.137.191","54.183.112.121","1",
"43669","Feb  1, 2023 00:50:31.291388000 CST","54.183.112.121","192.168.137.191","150",
"43672","Feb  1, 2023 00:50:31.293487000 CST","35.161.158.54","192.168.137.245","0",
"48291","Feb  1, 2023 00:50:32.472486000 CST","54.167.177.211","192.168.137.228","1","160303006602000062030357e5e230e67b9b708fb0823fcf57a87831e591c7be1eb93b49ee2b76201ad7b9203748897fb5835aedfd1919ac624b3e4d7ecdcdb8471c563077a50f5ea283ce5ec02f00001a00000000ff01000100000b00040300010200100005000302683216030317800b00177c001779000a1130820a0d308208f5a003020102021004cae73153642d25714cada74c64f96d300d06092a864886f70d01010b05003046310b3009060355040613025553310f300d060355040a1306416d617a6f6e31153013060355040b130c536572766572204341203142310f300d06035504031306416d617a6f6e301e170d3232303530353030303030305a170d3233303530343233353935395a302a312830260603550403131f626f622d64697370617463682d70726f642d6e612e616d617a6f6e2e636f6d30820122300d06092a864886f70d01010105000382010f003082010a0282010100a807e55bfde6e4960c011f71713515dcc2e5d00a848d9518dcebd5c9f44fe17416c99df64ddca1ee3a90c33539cf544a7a22ca33d3bd7d89c045f4592944ac0dfca4dd67981f636da389389448e9c9ecc5e2a7bc6e2f9b1c54d9bac45cf6729424068318d72cc766eabbd426c15ac78e50731a8ffbc1cf9626fc7237b5bcafa838c8d17ac537445b5e1ef96de50001aa00cac5531fae15904e29c958e2f8cfca18e85cecd170f6d0b770035ee254948713540f72dfbc33c6c14e79d1b9d5f443fa993e6ef6663c5b67b598f6be410cb95cfe351da5ee4b524fc84d005948d7a5222e855b3457a40feee1f5743c5ce2db8aa235c81ba9f26a6a74258b6a3990010203010001a38207113082070d301f0603551d2304183016801459a4660652a07b95923ca394072796745bf93dd0301d0603551d0e041604146cac6d94012e6a56f9ef218a747874ebce94d44e3082043f0603551d110482043630820432821c2a2e6e612e676174657761792e646576696365732e61327a2e636f6d82202a2e6176732e6e612e676174657761792e646576696365732e61327a2e636f6d82196176732d616c6578612d312d6e612e616d617a6f6e2e636f6d82196176732d616c6578612d322d6e612e616d617a6f6e2e636f6d82196176732d616c6578612d332d6e612e616d617a6f6e2e636f6d82196176732d616c6578612d342d6e612e616d617a6f6e2e636f6d82196176732d616c6578612d352d6e612e616d617a6f6e2e636f6d82196176732d616c6578612d362d6e612e616d617a6f6e2e636f6d82196176732d616c6578612d372d6e612e616d617a6f6e2e636f6d82196176732d616c6578612d382d6e612e616d617a6f6e2e636f6d82196176732d616c6578612d392d6e612e616d617a6f6e2e636f6d821a6176732d616c6578612d31302d6e612e616d617a6f6e2e636f6d821a6176732d616c6578612d31312d6e612e616d617a6f6e2e636f6d821a6176732d616c6578612d31322d6e612e616d617a6f6e2e636f6d821a6176732d616c6578612d31332d6e612e616d617a6f6e2e636f6d821a6176732d616c6578612d31342d6e612e616d617a6f6e2e636f6d821a6176732d616c6578612d31352d6e612e616d617a6f6e2e636f6d821a6176732d616c6578612d31362d6e612e616d617a6f6e2e636f6d821a6176732d616c6578612d31372d6e612e616d617a6f6e2e636f6d821a6176732d616c6578612d31382d6e612e616d617a6f6e2e636f6d821a6176732d616c6578612d31392d6e612e616d617a6f6e2e636f6d821a6176732d616c6578612d32302d6e612e616d617a6f6e2e636f6d821b6176732d616c6578612d3939392d6e612e616d617a6f6e2e636f6d821f626f622d64697370617463682d70726f642d6e612e616d617a6f6e2e636f6d82176176732d616c6578612d6e612e616d617a6f6e2e636f6d821364702d67772d6e612e616d617a6f6e2e636f6d821664702d67772d6e612d6a732e616d617a6f6e2e636f6d8215"
"49446","Feb  1, 2023 00:50:32.832990000 CST","192.168.137.222","54.148.153.241","1","160303003e0100003a030342416f6842416f68626d6436614739314946523165566a61473576624739534200000400ae00ff0100000d00010001020016000000170000"
"49525","Feb  1, 2023 00:50:32.883740000 CST","54.148.153.241","192.168.137.222","153",
"49920","Feb  1, 2023 00:50:33.095441000 CST","192.168.137.8","54.188.99.4","1","160303003e0100003a030342416f6842416f68626d6436614739314946523165566a61473576624739534200000400ae00ff0100000d00010001020016000000170000"
